dataset,comparator,metric,fold_count,fedsift_minus_comparator_mean,fedsift_minus_comparator_sd,fedsift_minus_comparator_ci95_low_t,fedsift_minus_comparator_ci95_high_t,benefit_oriented_mean,benefit_oriented_sd,benefit_oriented_ci95_low_t,benefit_oriented_ci95_high_t
retinopathy,fedavg_nonprivate,brier_score,5,0.02750071113356784,0.00963103140173552,0.01554220617646289,0.039459216090672794,-0.02750071113356784,0.00963103140173552,-0.039459216090672794,-0.01554220617646289
retinopathy,fedavg_nonprivate,f1,5,-0.00972698499096838,0.02037790241649596,-0.03502949278044094,0.015575522798504186,-0.00972698499096838,0.02037790241649596,-0.03502949278044094,0.015575522798504186
retinopathy,fedavg_nonprivate,log_loss,5,0.08528513702559729,0.026337624039877616,0.05258265745705521,0.11798761659413937,-0.08528513702559729,0.026337624039877616,-0.11798761659413937,-0.05258265745705521
retinopathy,fedavg_nonprivate,mcc,5,-0.032868785249414244,0.07059374481604686,-0.12052249668588341,0.05478492618705492,-0.032868785249414244,0.07059374481604686,-0.12052249668588341,0.05478492618705492
retinopathy,fedavg_nonprivate,npv,5,-0.03203989703989707,0.04652227277994312,-0.0898049282653675,0.02572513418557336,-0.03203989703989707,0.04652227277994312,-0.0898049282653675,0.02572513418557336
retinopathy,fedavg_nonprivate,ppv,5,-0.008891662537641131,0.03669290916683293,-0.05445192683945854,0.03666860176417627,-0.008891662537641131,0.03669290916683293,-0.05445192683945854,0.03666860176417627
retinopathy,fedavg_nonprivate,sensitivity,5,-0.009916033586565365,0.0698045348233679,-0.09658981138810241,0.07675774421497167,-0.009916033586565365,0.0698045348233679,-0.09658981138810241,0.07675774421497167
retinopathy,fedavg_nonprivate,specificity,5,-0.018518518518518524,0.13449850968827734,-0.18552047581051298,0.14848343877347595,-0.018518518518518524,0.13449850968827734,-0.18552047581051298,0.14848343877347595
retinopathy,dp_fedavg,auroc,5,-0.007944970160084108,0.018901588992119033,-0.03141439272044293,0.01552445240027471,-0.007944970160084108,0.018901588992119033,-0.03141439272044293,0.01552445240027471
retinopathy,dp_fedavg,average_precision,5,-0.009729119628929106,0.01921211880971463,-0.03358411588416516,0.014125876626306948,-0.009729119628929106,0.01921211880971463,-0.03358411588416516,0.014125876626306948
retinopathy,dp_fedavg,balanced_accuracy,5,-0.0017789180624046886,0.014372842857567117,-0.019625159590485924,0.016067323465676544,-0.0017789180624046886,0.014372842857567117,-0.019625159590485924,0.016067323465676544
retinopathy,dp_fedavg,brier_score,5,0.004717455930477216,0.009346936519036154,-0.00688829863870601,0.016323210499660443,-0.004717455930477216,0.009346936519036154,-0.016323210499660443,0.00688829863870601
retinopathy,dp_fedavg,f1,5,-0.0011854454722435071,0.007885968151341974,-0.010977168216746347,0.008606277272259334,-0.0011854454722435071,0.007885968151341974,-0.010977168216746347,0.008606277272259334
retinopathy,dp_fedavg,log_loss,5,0.0168113043275697,0.027287735515655432,-0.01707089445472594,0.05069350310986534,-0.0168113043275697,0.027287735515655432,-0.05069350310986534,0.01707089445472594
retinopathy,dp_fedavg,mcc,5,-0.00433273811689015,0.025306424228992958,-0.03575481400530221,0.02708933777152191,-0.00433273811689015,0.025306424228992958,-0.03575481400530221,0.02708933777152191
retinopathy,dp_fedavg,npv,5,-0.004703957995395558,0.0160100721648353,-0.024583088211115788,0.01517517222032467,-0.004703957995395558,0.0160100721648353,-0.024583088211115788,0.01517517222032467
retinopathy,dp_fedavg,ppv,5,5.650346485104318e-05,0.014291119416198607,-0.0176882650082736,0.017801271937975684,5.650346485104318e-05,0.014291119416198607,-0.0176882650082736,0.017801271937975684
retinopathy,dp_fedavg,sensitivity,5,-0.0017059842729574947,0.029089284470212223,-0.037825101533127944,0.03441313298721295,-0.0017059842729574947,0.029089284470212223,-0.037825101533127944,0.03441313298721295
retinopathy,dp_fedavg,specificity,5,-0.0018518518518518602,0.05130331547109284,-0.06555333166079814,0.06184962795709443,-0.0018518518518518602,0.05130331547109284,-0.06555333166079814,0.06184962795709443
retinopathy,dp_fedadam,auroc,5,-0.008897798905129295,0.016178134160375755,-0.028985605650178388,0.0111900078399198,-0.008897798905129295,0.016178134160375755,-0.028985605650178388,0.0111900078399198
retinopathy,dp_fedadam,average_precision,5,-0.007226697747285904,0.014095960252666058,-0.024729144113132616,0.010275748618560808,-0.007226697747285904,0.014095960252666058,-0.024729144113132616,0.010275748618560808
retinopathy,dp_fedadam,balanced_accuracy,5,-0.0016197224813778277,0.022279718362376095,-0.0292836466620596,0.026044201699303948,-0.0016197224813778277,0.022279718362376095,-0.0292836466620596,0.026044201699303948
retinopathy,dp_fedadam,brier_score,5,0.0033299336490227537,0.005955696673209515,-0.004065040494323442,0.01072490779236895,-0.0033299336490227537,0.005955696673209515,-0.01072490779236895,0.004065040494323442
retinopathy,dp_fedadam,f1,5,-0.0016466260822016522,0.01490507828620275,-0.020153725180588302,0.016860473016184995,-0.0016466260822016522,0.01490507828620275,-0.020153725180588302,0.016860473016184995
retinopathy,dp_fedadam,log_loss,5,0.00966755071379819,0.026914449090344787,-0.023751151753171044,0.04308625318076743,-0.00966755071379819,0.026914449090344787,-0.04308625318076743,0.023751151753171044
retinopathy,dp_fedadam,mcc,5,-0.006017512206099274,0.03383462606326263,-0.04802874928153931,0.035993724869340764,-0.006017512206099274,0.03383462606326263,-0.04802874928153931,0.035993724869340764
retinopathy,dp_fedadam,npv,5,-0.00985958485958489,0.031117779660351803,-0.04849741156788115,0.02877824184871137,-0.00985958485958489,0.031117779660351803,-0.04849741156788115,0.02877824184871137
retinopathy,dp_fedadam,ppv,5,0.000725013340911218,0.02659586277037127,-0.03229811196222667,0.03374813864404911,0.000725013340911218,0.02659586277037127,-0.03229811196222667,0.03374813864404911
