dataset,method,metric,direction,fold_count,mean,sd,ci95_low_t,ci95_high_t
retinopathy,dp_fedadam,npv,higher,5,0.6736691086691087,0.03837357909224031,0.6260220170280492,0.7213162003101682
retinopathy,dp_fedadam,ppv,higher,5,0.5958431303797749,0.03466761170900407,0.5527976050169972,0.6388886557425526
retinopathy,dp_fedadam,sensitivity,higher,5,0.8545115287218445,0.06957528922692365,0.7681223969241591,0.94090066051953
retinopathy,dp_fedadam,specificity,higher,5,0.3351851851851852,0.13755532619299174,0.1643876888901718,0.5059826814801986
retinopathy,fedsift,auroc,higher,5,0.7031197397584176,0.030510309441197744,0.6652361869512259,0.7410032925656093
retinopathy,fedsift,average_precision,higher,5,0.758783741212172,0.029601915523042224,0.7220281084293412,0.7955393739950027
retinopathy,fedsift,balanced_accuracy,higher,5,0.5932286344721371,0.05135080460802969,0.5294681891115506,0.6569890798327237
retinopathy,fedsift,brier_score,lower,5,0.22777478715220267,0.010020520654363792,0.2153326674124219,0.24021690689198344
retinopathy,fedsift,f1,higher,5,0.6980296036118554,0.019973841598700436,0.6732288035929243,0.7228304036307865
retinopathy,fedsift,log_loss,lower,5,0.661985846850205,0.03999133158628921,0.6123300501792805,0.7116416435211295
retinopathy,fedsift,mcc,higher,5,0.2182267772258492,0.08874875667503869,0.10803064117710746,0.32842291327459094
retinopathy,fedsift,npv,higher,5,0.6638095238095237,0.038332593899996395,0.6162133220061329,0.7114057256129146
retinopathy,fedsift,ppv,higher,5,0.5965681437206861,0.04753385393111258,0.5375470685985471,0.6555892188428252
retinopathy,fedsift,sensitivity,higher,5,0.8494202319072371,0.06574442519994675,0.7677877460538628,0.9310527177606115
retinopathy,fedsift,specificity,higher,5,0.337037037037037,0.15612220425416656,0.14318571669442348,0.5308883573796506
retinopathy,fedsift_public_argmin_rule,auroc,higher,5,0.7039695233017904,0.03480085498796666,0.6607585545565222,0.7471804920470586
retinopathy,fedsift_public_argmin_rule,average_precision,higher,5,0.7605407782325349,0.03617605260168526,0.7156222761198966,0.8054592803451731
retinopathy,fedsift_public_argmin_rule,balanced_accuracy,higher,5,0.59487760451375,0.06007919201044451,0.5202794347532097,0.6694757742742904
retinopathy,fedsift_public_argmin_rule,brier_score,lower,5,0.22480370054321552,0.011004817251741166,0.2111394151549168,0.23846798593151425
retinopathy,fedsift_public_argmin_rule,f1,higher,5,0.7042562010459162,0.014343958951610565,0.6864458236239888,0.7220665784678437
retinopathy,fedsift_public_argmin_rule,log_loss,lower,5,0.6488909757510959,0.027688019160607556,0.6145117591777934,0.6832701923243983
retinopathy,fedsift_public_argmin_rule,mcc,higher,5,0.22651639307894111,0.09974679870741227,0.1026643841878693,0.35036840197001295
retinopathy,fedsift_public_argmin_rule,npv,higher,5,0.679819471308833,0.0277465394093198,0.6453675922495387,0.7142713503681274
retinopathy,fedsift_public_argmin_rule,ppv,higher,5,0.5988133334425305,0.05660856800709082,0.5285245125582563,0.6691021543268048
